Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
2445,12089988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi,unlisted,0.0,1,0.5
2446,12089929,Walnut,NA,NA,NA,Happy,Pink,Brown,NA,NA,Seafoam Green,Black Beanie,Purple Pink Shades,NA,NA,Dumbbell,NA,unlisted,0.0,0,0.0
2447,12089953,Teal,NA,NA,NA,Pleased,Very Cold,Purple,NA,Yellow,NA,NA,Neon Shield Glasses,Green,NA,NA,NA,unlisted,0.0,0,0.0
2448,12089904,Black,NA,Grey,NA,Content,Cold,Brown,NA,NA,NA,Purple Bow,NA,NA,NA,Red Saber,NA,unlisted,0.0,0,0.0
2449,12089980,Blush,NA,NA,NA,Pleased,Orange,NA,NA,NA,Neon Green,Blue Sweatband,Red Glasses,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
2450,12089905,Classic,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,Purple Bow,VR Green,NA,Purple Bandana,NA,NA,unlisted,0.0,0,0.0
2451,12089828,Dark Grey,NA,NA,Blue,Happy,NA,NA,NA,Light Blue,NA,NA,Blue Shield Glasses,NA,Pumpkin,NA,NA,for_sale,0.37,0,0.0
2452,12089772,Pistachio,NA,NA,Off White,Happy,NA,Brown,NA,NA,Purples,Blue Sweatband,Protective Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
2453,12090005,Classic,NA,NA,NA,Silly,NA,NA,NA,Yellow,NA,NA,Light Orange Snorkel,NA,NA,NA,NA,unlisted,0.0,0,0.0
2454,12090017,Classic,Orange,Pink,Grey,Pleased,NA,NA,NA,NA,NA,NA,3D Glasses,Pink,NA,NA,NA,unlisted,0.0,0,0.0
2455,12090003,Walnut,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Blue Crown,NA,NA,NA,Wine,NA,unlisted,0.0,0,0.0
2456,12089825,Free Britney,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Purple Sweatband,Kris Jenner Shades,NA,NA,Wine,NA,for_sale,0.6,0,0.0
2457,12090027,Classic,NA,Blue,Grey,Pleased,NA,NA,Brown Stripes,NA,NA,Dark Pink Sweatband,Yellow Goggles,Pink,Green Bandana,NA,NA,for_sale,1.0,0,0.0
2458,12090012,Perry Winks,NA,NA,NA,Pleased,NA,Blue,NA,NA,Purples,Yellow Sweatband,Pink Purple Shades,Jeans,Red Bandana,NA,NA,unlisted,0.0,0,0.0
2459,12090051,Flamingo,NA,Brown,NA,Pissed,NA,NA,NA,Lime,NA,Green Sweatband,Curious Brows,NA,Pumpkin,NA,NA,unlisted,0.0,0,0.0
