Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
785,12084944,Classic,NA,NA,NA,Pleased,NA,NA,NA,Light Blue,NA,Another Red Beanie,Purple Pink Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
786,12084943,Walnut,NA,NA,NA,Silly,NA,Sage,NA,Lime,NA,NA,Yellow Orange Shades,NA,Purple Bandana,NA,NA,unlisted,0.0,0,0.0
787,12084836,Flamingo,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Dark Pink Sweatband,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
788,12084947,Cornflower,NA,NA,NA,Silly,Pink,Blue,NA,Lime,NA,Orange Bow,VR,Black,NA,NA,NA,unlisted,0.0,0,0.0
789,12084946,Walnut,NA,NA,NA,Meh,NA,Purple,NA,Pink,NA,Green Sweatband,Over It Brows,Dark Green,NA,NA,NA,for_sale,0.1,0,0.0
790,12084945,Walnut,NA,NA,NA,Happy,NA,NA,NA,Grey,NA,NA,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
791,12084949,Walnut,Neon Green,NA,NA,Unamused,NA,Light Pink,NA,Light Blue,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
792,12084763,Cornflower,NA,NA,NA,Pleased,NA,NA,NA,Lime,NA,Red Beanie With Pompom,Blue Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
793,12084953,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,Dark Brown,Another Red Beanie,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
794,12084878,Pistachio,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Blue Green Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
795,12084950,Coffee,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Purple Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
796,12084951,Black,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,VR Green,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
797,12084952,Fern,NA,NA,NA,Content,Grey,NA,NA,NA,NA,NA,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
798,12084954,Classic,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Green Readers,NA,Purple Heart,NA,NA,unlisted,0.0,0,0.0
799,12084957,Dark Grey,NA,NA,NA,Silly,NA,NA,NA,NA,Primary,NA,Black Red Goggles,Dark Green,Blue Collar,Berry Ice Pop,NA,unlisted,0.0,0,0.0
800,12084958,Perry Winks,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Surprised Brows,NA,Yellow Flowers,NA,NA,unlisted,0.0,0,0.0
801,12084955,Coffee,NA,NA,NA,Pissed,NA,Light Brown,NA,Green,Dark Brown,NA,Alert Brows,NA,NA,NA,NA,for_sale,0.11,0,0.0
802,12084758,Walnut,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Pink Sunglasses,NA,NA,NA,NA,for_sale,0.15,0,0.0
803,12084959,Teal,NA,Grey,Pink,Happy,Brown,Blue,NA,NA,NA,NA,NA,NA,Yellow Bandana,NA,NA,for_sale,0.7,0,0.0
804,12084960,Grapefruit,NA,Brown,NA,Silly,Very Cold,NA,NA,Light Blue,NA,Purple Bow,Green Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
805,12084918,Classic,NA,NA,NA,Happy,NA,Sage,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
806,12084941,Walnut,NA,NA,NA,Pleased,NA,Purple,NA,Pink,NA,NA,Curious Brows,NA,NA,NA,NA,for_sale,0.49,0,0.0
807,12084961,Walnut,NA,NA,NA,Meh,NA,NA,NA,Yellow,NA,Red Beanie With Pompom,Purple Pink Shades,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
808,12084962,Classic,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,Red Beanie With Pompom,Green Blue Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
809,12084963,Walnut,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Curious Brows,NA,NA,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
810,12084964,Perry Winks,NA,NA,NA,Meh,NA,NA,NA,NA,Light Pink,NA,NA,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
811,12084965,Grapefruit,NA,NA,NA,Pleased,Pink,NA,NA,NA,NA,NA,VR Green,NA,NA,Water,NA,unlisted,0.0,0,0.0
812,12084956,Flamingo,NA,NA,NA,Unamused,NA,NA,NA,NA,Purples,Red Beanie,Curious Brows,NA,NA,NA,NA,unlisted,0.0,1,0.0275
813,12084876,Classic,NA,NA,NA,Silly,Orange,NA,NA,NA,Purples,NA,NA,NA,Yellow Bandana,NA,NA,for_sale,0.51,0,0.0
814,12084967,Thin Mint,NA,NA,NA,Content,Pink,NA,NA,NA,NA,NA,Alert Brows,NA,Yellow Bandana,NA,NA,for_sale,0.1,0,0.0
815,12084966,Classic,NA,NA,NA,Happy,Pink,NA,NA,NA,NA,NA,NA,NA,Purple Flowers,NA,NA,for_sale,0.2,0,0.0
816,12084969,Steel,NA,NA,NA,Meh,Brown,NA,NA,Blue,NA,NA,Red Round Shades,NA,Pink Collar,NA,NA,for_sale,0.16,0,0.0
817,12084968,Perry Winks,NA,NA,NA,Pleased,NA,NA,NA,NA,Neon Green,NA,Skeptical Brows,Jeans,NA,NA,NA,unlisted,0.0,0,0.0
818,12084907,Teal,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,Red Beanie With Pompom,Pissed Brows,NA,Yellow Heart,NA,NA,unlisted,0.0,0,0.0
819,12084970,Basic Pink,NA,NA,NA,Pleased,Grey,NA,NA,Yellow,NA,NA,Surprised Brows,NA,NA,Dumbbell,NA,unlisted,0.0,0,0.0
820,12084973,Classic,NA,NA,NA,Happy,Pink,NA,NA,Yellow,Mellow Yellow,Black Beanie,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
821,12084972,Basic Pink,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Tophat,NA,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
822,12084971,Grapefruit,NA,NA,NA,Pleased,Very Cold,NA,NA,Blue,Seafoam Green,NA,Blue Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
823,12084975,Fern,NA,NA,NA,Silly,NA,NA,NA,NA,Neon Green,NA,Green Sunglasses,NA,Green Bandana,Water,NA,for_sale,0.18,0,0.0
824,12084832,Basic Pink,NA,NA,NA,Happy,NA,NA,NA,Brown,NA,Black Beanie,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
825,12084976,Perry Winks,NA,NA,Grey,Pleased,NA,NA,NA,NA,Dark Pink,NA,Red Glasses,NA,Yellow Bandana,Berry Ice Pop,NA,unlisted,0.0,0,0.0
826,12084978,Classic Plus,NA,NA,NA,Pissed,NA,NA,Brown Stripes,NA,Mellow Yellow,NA,Yellow Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
827,12084979,Blush,NA,NA,NA,Meh,NA,NA,NA,NA,Purples,Dark Purple Sweatband,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
828,12084906,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Green Goggles,Blue,NA,NA,NA,unlisted,0.0,0,0.0
829,12084977,Grey,NA,NA,NA,Unamused,NA,Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
830,12084980,Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,VR Orange Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
831,12084982,Ocean,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,Surprised Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
832,12084983,Classic,NA,NA,Grey,Pleased,NA,Brown,NA,Blue,NA,NA,VR,NA,Green Bandana,NA,NA,for_sale,0.9,0,0.0
833,12084974,Mellow Yellow,NA,Grey,NA,Pleased,NA,NA,NA,NA,NA,NA,Curious Brows,NA,NA,Green Saber,NA,unlisted,0.0,0,0.0
834,12084981,Classic,NA,NA,NA,Pleased,Orange,NA,NA,NA,NA,NA,NA,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
835,12084984,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,Neon Green,Purple Bow,Purple Round Shades,NA,Pink Flowers,NA,NA,unlisted,0.0,0,0.0
836,12084985,Grapefruit,NA,NA,NA,Silly,NA,Blue,NA,NA,NA,NA,Blue Shades,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
837,12084987,Black,NA,NA,NA,Happy,NA,NA,Brown Stripes,NA,Mellow Yellow,Red Beanie With Pompom,NA,NA,Red Collar,NA,NA,unlisted,0.0,0,0.0
838,12084757,Steel,NA,NA,NA,Pleased,NA,Yellow,NA,NA,NA,NA,Yellow Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
839,12084988,Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Purple Bow,Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
840,12084990,Perry Winks,NA,NA,NA,Unamused,Pink,NA,NA,NA,Light Pink,NA,Green Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
841,12084991,Free Britney,NA,NA,NA,Silly,NA,NA,NA,Green,NA,NA,Surprised Brows,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
842,12084992,Mellow Yellow,NA,NA,NA,Content,NA,NA,NA,NA,NA,Teal Hat,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
843,12084989,Dark Grey,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,NA,NA,Yellow Bandana,NA,NA,unlisted,0.0,0,0.0
844,12084993,Basic Pink,NA,NA,NA,Happy,Cold,NA,NA,NA,Red,NA,NA,NA,NA,NA,NA,for_sale,0.13,0,0.0
845,12084887,Classic,NA,NA,NA,Pleased,NA,Light Pink,NA,NA,NA,Small Pink Bow,Pissed Brows,NA,NA,NA,NA,for_sale,1.0,0,0.0
846,12084995,Steel,Neon Green,NA,NA,Happy,NA,NA,NA,NA,NA,Purple Bow,NA,NA,Yellow Heart,NA,NA,for_sale,0.21,0,0.0
847,12084994,Blush,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,VR Green,NA,Blue Bandana,NA,NA,for_sale,0.1,0,0.0
848,12084997,Mellow Yellow,NA,NA,NA,Content,Brown,NA,NA,Yellow,NA,NA,NA,Pink,NA,NA,NA,unlisted,0.0,0,0.0
849,12084996,Classic,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,Red Bow,Purple Pink Shades,NA,NA,Blueberry Icepop,NA,unlisted,0.0,0,0.0
850,12084877,Classic,Pink,NA,NA,Pleased,Brown,NA,NA,NA,NA,Birthday Blue,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
851,12084998,Classic,NA,NA,NA,Pleased,Brown,NA,NA,NA,Neon Green,Red Beanie With Pompom,Green Blue Goggles,Blue,Green Bandana,NA,NA,for_sale,1.0,0,0.0
852,12085000,Grey,NA,NA,NA,Happy,NA,Blue,NA,NA,NA,Black Sweatband,Surprised Brows,Pink,NA,NA,NA,unlisted,0.0,0,0.0
853,12085002,Classic,NA,NA,NA,Silly,NA,Blue,White Spots,Grey,Seafoam Green,Crown,Blue Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
854,12085003,Classic,NA,NA,Off White,Pleased,NA,NA,White Spots,Grey,Light Pink,NA,Red Glasses,NA,Red Bandana,NA,NA,for_sale,0.41,0,0.0
855,12085001,Steel,NA,NA,NA,Meh,NA,NA,Brown Spots,NA,NA,NA,Pissed Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
856,12085006,Walnut,NA,NA,Grey,Silly,NA,NA,NA,NA,NA,NA,Skeptical Brows,NA,Blue Bandana,NA,NA,for_sale,0.148,0,0.0
857,12084999,Classic,NA,NA,NA,Pleased,NA,Blue,NA,Brown,NA,NA,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
858,12085007,Basic Pink,NA,NA,NA,Unamused,NA,NA,NA,NA,Cold Feet,NA,Yellow Goggles,NA,Yellow Heart,NA,NA,for_sale,0.148,0,0.0
859,12085009,Teal,NA,NA,NA,Silly,NA,NA,NA,NA,Purples,Green Crown,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
860,12084885,Blush,NA,NA,NA,Content,NA,NA,NA,NA,NA,Red Sweatband,Red Round Shades,NA,NA,NA,NA,for_sale,0.65,0,0.0
861,12085010,Coffee,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Berry Crown,NA,Black,NA,NA,NA,for_sale,0.5,0,0.0
862,12085011,Classic,NA,NA,NA,Happy,NA,Yellow,NA,NA,Cold Feet,NA,Purple Snorkel,NA,NA,NA,NA,unlisted,0.0,0,0.0
863,12085012,Thin Mint,NA,NA,NA,Content,Grey,NA,NA,NA,NA,NA,NA,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
864,12085013,Cornflower,NA,NA,NA,Content,Brown,NA,Brown Stripes,NA,NA,Dark Purple Sweatband,Over It Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
865,12085008,Black,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,Pink,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
866,12084986,Lavender,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Curious Brows,Orange,NA,NA,NA,unlisted,0.0,0,0.0
867,12084819,Walnut,NA,NA,NA,Happy,NA,NA,NA,Pink,NA,NA,Blue Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
868,12085017,Mellow Yellow,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
869,12085018,Blush,NA,NA,NA,Meh,Purple,NA,NA,NA,NA,NA,Pissed Brows,Black,Pink Collar,NA,NA,for_sale,0.15,0,0.0
870,12085019,Flamingo,NA,NA,NA,Pleased,NA,Tan,NA,NA,NA,Red Beanie,Blue Shield Glasses,NA,Yellow Heart,NA,NA,unlisted,0.0,0,0.0
871,12085021,Mellow Yellow,NA,NA,NA,Silly,Pink,NA,NA,Blue,NA,Another Red Beanie,NA,NA,NA,NA,NA,for_sale,0.15,0,0.0
872,12085016,Dark Grey,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Surprised Brows,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
873,12085015,Fern,NA,Pink,NA,Pleased,NA,NA,NA,NA,Dark Purple,NA,VR,NA,NA,NA,NA,unlisted,0.0,0,0.0
874,12085022,Flamingo,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Alert Brows,Blue,Green Bandana,NA,NA,for_sale,0.15,0,0.0
875,12084803,Classic,NA,NA,NA,Meh,Very Cold,NA,NA,NA,Cold Feet,NA,Green Blue Goggles,NA,NA,NA,NA,for_sale,0.5,0,0.0
876,12085023,Carmel,NA,NA,NA,Content,NA,NA,NA,Pink,NA,Blue Sweatband,Purple Pink Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
877,12085024,Classic,NA,NA,Off White,Meh,NA,NA,NA,NA,NA,Neon Green Sweatband,Purple Pink Shades,NA,Green Bandana,Strawberry Ice Cream,NA,for_sale,0.4,0,0.0
878,12085025,Thin Mint,NA,NA,NA,Happy,NA,NA,NA,Grey,NA,Black Beanie,Curious Brows,Blue,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
879,12085026,Lavender,NA,NA,NA,Pleased,NA,Brown,NA,NA,Mellow Yellow,Red Beanie With Pompom,Black Red Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
880,12085014,Black,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Neon Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
881,12085029,Passion Fruit,NA,NA,Off White,Pleased,NA,NA,NA,NA,Mellow Yellow,Teal Hat,Blue Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
882,12085028,Flamingo,NA,NA,NA,Happy,NA,Purple,NA,NA,Dark Purple,NA,VR Orange Green,NA,Purple Bandana,NA,NA,unlisted,0.0,0,0.0
883,12085020,Walnut,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Pissed Brows,Dark Green,NA,NA,NA,unlisted,0.0,0,0.0
884,12085031,Perry Winks,NA,NA,NA,Pleased,Very Cold,NA,NA,NA,NA,NA,Protective Goggles,NA,NA,Lemon Icepop,NA,unlisted,0.0,0,0.0
885,12085030,Grey,NA,NA,NA,Pissed,NA,Sage,NA,NA,Purples,Berry Crown,VR Purple,NA,NA,NA,NA,unlisted,0.0,0,0.0
886,12085032,Classic,NA,NA,NA,Pleased,NA,Blue,NA,NA,NA,NA,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
887,12085033,Walnut,NA,NA,NA,Unamused,NA,NA,NA,NA,Mellow Yellow,Berry Crown,Curious Brows,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
888,12085027,Fern,NA,Blue,NA,Happy,NA,NA,NA,NA,Neon Green,NA,NA,NA,NA,NA,NA,for_sale,0.3,0,0.0
889,12085004,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,Dark Brown,NA,NA,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
890,12085035,Classic,NA,NA,NA,Unamused,NA,NA,Brown Spots,NA,Dark Purple,NA,Green Goggles,NA,NA,NA,NA,unlisted,0.0,0,0.0
891,12085037,Steel,NA,NA,Off White,Meh,NA,On Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,for_sale,0.15,0,0.0
892,12084926,Walnut,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Green Readers,NA,NA,NA,NA,for_sale,0.099,0,0.0
893,12085040,Lavender,NA,NA,NA,Meh,Grey,NA,NA,NA,Purples,Green Crown,Pink Sunglasses,NA,Red Bandana,Blue Saber,NA,unlisted,0.0,0,0.0
894,12085039,Carmel,NA,NA,NA,Happy,NA,Light Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
895,12085043,Blush,NA,Cream,NA,Happy,NA,Light Pink,NA,NA,NA,Red Beanie,Blue Shield Glasses,NA,Blue Collar,NA,NA,for_sale,0.101,0,0.0
896,12085036,Coffee,NA,NA,NA,Pleased,NA,Yellow,NA,NA,Cold Feet,NA,Alert Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
897,12085046,Perry Winks,NA,NA,NA,Silly,NA,Brown,NA,NA,Cold Feet,Black Sweatband,Red Glasses,Blue,NA,NA,NA,unlisted,0.0,0,0.0
898,12085047,Carmel,NA,Grey,NA,Pissed,NA,Brown,NA,Lime,NA,Teal Hat,NA,NA,Purple Heart,NA,NA,for_sale,0.25,0,0.0
899,12085049,Classic,NA,NA,NA,Pleased,Pink,NA,NA,NA,NA,NA,Pink Sunglasses,NA,NA,Blue Saber,NA,for_sale,1.0,0,0.0
900,12085050,Stallion,NA,NA,NA,Happy,Orange,NA,NA,NA,NA,Berry Crown,NA,NA,Pink Collar,NA,NA,for_sale,10.0,0,0.0
901,12085052,Perry Winks,NA,NA,NA,Pissed,Pink,NA,NA,Pink,Sage,NA,Green Sunglasses,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
902,12085054,Grey,NA,NA,NA,Meh,Purple,Tan,NA,NA,Purples,NA,Sunglasses,NA,NA,NA,NA,for_sale,0.088,0,0.0
903,12085038,Blush,NA,NA,NA,Pleased,NA,NA,NA,Lime,Purples,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
904,12085048,Walnut,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Orange Bow,Blue Readers,NA,Yellow Flowers,NA,NA,for_sale,0.94,0,0.0
905,12085051,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,Cold Feet,Purple Sweatband,Curious Brows,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
906,12085055,Grapefruit,NA,Grey,NA,Meh,Pink,NA,NA,NA,NA,Yellow Hat,NA,Green,Yellow Bandana,NA,NA,for_sale,1.0,0,0.0
907,12085053,Blush,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Berry Crown,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
908,12085057,Coffee,NA,NA,NA,Unamused,NA,NA,NA,NA,NA,Tophat,Pink Sunglasses,NA,Pink Collar,NA,NA,for_sale,0.5,0,0.0
909,12085034,Passion Fruit,NA,NA,NA,Meh,NA,NA,NA,NA,Cold Feet,NA,Blue Sunglasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
910,12085061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Token Smart,for_sale,69.0,1,0.5
911,12085059,Ocean,NA,NA,NA,Pleased,NA,Blue,NA,NA,NA,NA,NA,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
912,12085062,Steel,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Black Beanie,NA,NA,Yellow Heart,NA,NA,for_sale,0.148,0,0.0
913,12085056,Fern,NA,NA,NA,Pleased,NA,Light Brown,NA,NA,NA,Purple Bow,NA,NA,NA,Lemon Icepop,NA,for_sale,0.088,0,0.0
914,12085064,Free Britney,NA,NA,NA,Meh,NA,NA,NA,Light Blue,NA,Green Sweatband,Red Readers,Brown,NA,NA,NA,for_sale,0.45,0,0.0
915,12085042,Classic Plus,NA,NA,NA,Happy,NA,NA,NA,NA,Purples,NA,Red Round Shades,NA,NA,NA,NA,unlisted,0.0,0,0.0
916,12085063,Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Tophat,Pink Sunglasses,Jeans,NA,NA,NA,for_sale,0.3,0,0.0
917,12085066,Grey,NA,NA,NA,Silly,NA,Sage,NA,NA,NA,Orange Bow,NA,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
918,12085067,Flamingo,NA,NA,NA,Silly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,for_sale,1.0,0,0.0
919,12085068,Pistachio,NA,NA,NA,Content,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red Saber,NA,unlisted,0.0,0,0.0
920,12085069,Fire,NA,NA,NA,Silly,NA,NA,NA,NA,Light Pink,Yellow Sweatband,Pissed Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
921,12085070,Classic,NA,NA,Off White,Pissed,NA,Sage,NA,NA,NA,NA,NA,NA,NA,Berry Ice Pop,NA,for_sale,0.3,0,0.0
922,12085071,Basic Pink,NA,NA,NA,Pleased,Pink,Tan,NA,NA,Mellow Yellow,NA,Red Round Shades,NA,Blue Collar,Berry Ice Pop,NA,unlisted,0.0,0,0.0
923,12085072,Walnut,NA,NA,Pink,Pleased,NA,Purple,NA,NA,NA,Red Beanie With Pompom,Pink Purple Shades,NA,Yellow Heart,NA,NA,for_sale,0.55,0,0.0
924,12085075,Perry Winks,NA,NA,NA,Pleased,NA,Tan,NA,Lime,Neon Green,Yellow Hat,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
925,12085073,Grapefruit,NA,NA,NA,Meh,NA,Light Brown,NA,NA,NA,Pink Crown,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
926,12085065,Cornflower,NA,NA,NA,Happy,NA,Tan,NA,Light Blue,NA,NA,NA,NA,Green Bandana,NA,NA,unlisted,0.0,0,0.0
927,12085077,Coffee,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,Curious Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
928,12084919,Thin Mint,NA,Grey,NA,Pleased,NA,NA,NA,NA,NA,NA,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
929,12085074,Basic Pink,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,NA,Skeptical Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
930,12085078,Cornflower,NA,NA,NA,Happy,NA,NA,NA,Green,NA,Orange Bow,Skeptical Brows,NA,NA,Green Saber,NA,unlisted,0.0,0,0.0
931,12085081,Grey,NA,NA,Pink,Pleased,NA,NA,NA,NA,NA,Black Beanie,NA,NA,Pumpkin,NA,NA,for_sale,5.0,0,0.0
932,12085079,Carmel,NA,NA,NA,Happy,Brown,NA,NA,NA,Dark Brown,Red Beanie With Pompom,NA,NA,NA,NA,NA,for_sale,0.05,0,0.0
933,12085060,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,NA,NA,Pissed Brows,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
934,12085076,Classic,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Teal Hat,NA,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
935,12085084,Mellow Yellow,NA,NA,NA,Silly,NA,NA,NA,Light Blue,Mellow Yellow,Pinkish Sweatband,Purple Snorkel,NA,NA,NA,NA,unlisted,0.0,0,0.0
936,12085085,Blush,NA,NA,NA,Silly,Very Cold,NA,NA,Red,NA,NA,Alert Brows,Dark Green,NA,NA,NA,for_sale,0.2,0,0.0
937,12085082,Cornflower,NA,NA,NA,Pissed,NA,NA,NA,NA,NA,Purple,Alert Brows,NA,Yellow Heart,NA,NA,unlisted,0.0,0,0.0
938,12085083,Dark Grey,NA,NA,NA,Meh,NA,Brown,NA,NA,NA,NA,Yellow Orange Shades,NA,NA,NA,NA,for_sale,0.45,0,0.0
939,12085086,Perry Winks,NA,NA,NA,Pissed,NA,NA,NA,Pink,NA,NA,Blue Readers,NA,NA,NA,NA,for_sale,0.14,0,0.0
940,12085080,Lavender,NA,NA,NA,Pissed,NA,Light Pink,NA,NA,Cold Feet,NA,Pink Sunglasses,NA,NA,NA,NA,for_sale,0.4,0,0.0
941,12085041,Blush,NA,NA,NA,Pleased,Orange,NA,NA,NA,NA,NA,Blue Shield Glasses,NA,NA,NA,NA,unlisted,0.0,0,0.0
942,12085088,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,Dark Purple,NA,NA,NA,NA,Blue Saber,NA,unlisted,0.0,0,0.0
943,12085090,Mellow Yellow,NA,NA,NA,Pleased,Brown,NA,Brown Spots,NA,NA,NA,NA,NA,Yellow Bandana,NA,NA,for_sale,1.0,0,0.0
944,12085089,Classic,NA,NA,NA,Silly,NA,Brown,NA,NA,NA,Red Beanie With Pompom,VR Green,NA,NA,NA,NA,unlisted,0.0,0,0.0
945,12085005,Coffee,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Green Sweatband,Pissed Brows,NA,NA,NA,NA,unlisted,0.0,0,0.0
946,12085092,Classic,NA,NA,NA,Happy,NA,NA,NA,Lime,NA,Mellon,NA,Dark Green,NA,NA,NA,unlisted,0.0,0,0.0
947,12084909,Coffee,NA,NA,NA,Pissed,NA,Sage,NA,Light Blue,NA,NA,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
948,12085096,Flamingo,NA,NA,NA,Meh,Orange,NA,Brown Stripes,Light Blue,NA,NA,NA,NA,NA,NA,NA,for_sale,1.05,0,0.0
949,12085094,Basic Pink,NA,Grey,NA,Silly,NA,NA,NA,NA,NA,Dark Pink Sweatband,Purple Pink Shades,Pink,NA,NA,NA,for_sale,1.0,0,0.0
950,12085087,Dark Grey,NA,NA,NA,Meh,NA,NA,NA,NA,NA,NA,NA,NA,Red Bandana,NA,NA,unlisted,0.0,0,0.0
951,12085097,Classic,NA,NA,NA,Meh,Pink,Purple,NA,Lime,Purples,NA,Over It Brows,NA,NA,Berry Ice Pop,NA,unlisted,0.0,0,0.0
